Employee_1D,city,gender,HR Analytics,University Grade,education_level,Has HR expereince,experience,Job changes,Training hours,company_size,Get HR Analytics Job? 
104410,city_160,Male,Has relevent experience,Grade 3,Graduate,Yes,>20,1,,,No
104498,city_16,Male,Has relevent experience,Grade 2,Masters,Yes,6,1,,1000-4999,Yes
104591,city_114,Male,No relevent experience,Grade 3,Masters,Yes,3,1,,1-10,No
104621,city_90,Male,No relevent experience,Grade 3,High School,Yes,2,never,,,No
104695,city_28,Male,Has relevent experience,Grade 1,Graduate,Yes,19,1,,50-99,Yes
104725,city_104,Male,Has relevent experience,Grade 2,Graduate,Yes,10,1,,50-99,Yes
104825,city_103,Male,Has relevent experience,Grade 3,Graduate,Yes,>20,>4,,10000+,No
104905,city_149,,No relevent experience,Grade 1,,Yes,2,,,,No
104939,city_105,Male,Has relevent experience,Grade 3,Graduate,No,14,1,,100-500,No
105007,city_103,,No relevent experience,Grade 2,High School,No,1,1,,,No
105060,city_21,,Has relevent experience,Grade 1,Masters,Yes,8,2,,1000-4999,Yes
105150,city_76,Male,Has relevent experience,Grade 2,,Yes,7,>4,,100-500,Yes
105203,city_83,Male,Has relevent experience,Grade 2,Graduate,Yes,5,2,,1000-4999,Yes
105214,city_103,Other,Has relevent experience,Grade 2,Graduate,Yes,5,1,,,No
105293,city_97,Male,Has relevent experience,Grade 3,High School,No,7,1,,50-99,No
105390,city_160,Male,Has relevent experience,Grade 3,Graduate,Yes,>20,>4,,10000+,No
105436,city_28,,Has relevent experience,Grade 3,Masters,Yes,19,2,,,Yes
105468,city_13,,Has relevent experience,Grade 3,Graduate,Yes,5,2,,<10,Yes
105476,city_64,Female,Has relevent experience,Grade 2,Graduate,Yes,18,>4,,100-500,Yes
105485,city_31,Male,Has relevent experience,Grade 2,Graduate,Yes,15,>4,,,No
105526,city_21,Male,No relevent experience,Grade 2,Graduate,Yes,5,never,,<10,Yes
105621,city_136,Male,No relevent experience,Grade 3,Graduate,Yes,8,1,,,No
105648,city_19,Male,Has relevent experience,Grade 1,Graduate,Yes,8,3,,,Yes
105675,city_90,Male,Has relevent experience,Grade 2,Graduate,Yes,2,never,,,No
105685,city_11,Male,Has relevent experience,Grade 3,Graduate,Yes,<1,1,,50-99,No
105710,city_143,Male,Has relevent experience,Grade 3,Graduate,Yes,13,2,,<10,No
105751,city_16,Male,Has relevent experience,Grade 3,Masters,Yes,>20,4,,1000-4999,No
105834,city_103,,No relevent experience,Grade 3,High School,Yes,1,never,,,Yes
105931,city_160,Male,Has relevent experience,Grade 1,Graduate,Yes,7,1,,<10,Yes
106007,city_11,Male,Has relevent experience,Grade 2,Graduate,Yes,3,1,,1-10,No
106038,city_16,Male,Has relevent experience,Grade 3,Graduate,No,20,>4,,50-99,No
106039,city_114,Male,Has relevent experience,Grade 2,Masters,Yes,12,2,,50-99,No
106059,city_103,Male,Has relevent experience,Grade 1,High School,Yes,9,2,,,Yes
106111,city_100,Male,No relevent experience,Grade 3,Graduate,Yes,15,3,,,Yes
106156,city_114,Male,Has relevent experience,Grade 3,Masters,Yes,>20,>4,,10000+,Yes
106164,city_21,Male,No relevent experience,Grade 3,Masters,Yes,2,1,,,Yes
106196,city_67,,Has relevent experience,Grade 1,Masters,Yes,15,>4,,100-500,Yes
106261,city_114,Male,Has relevent experience,Grade 2,Graduate,Yes,9,>4,,500-999,Yes
106317,city_114,Male,Has relevent experience,Grade 2,Masters,Yes,14,1,,10000+,No
106364,city_21,,Has relevent experience,Grade 3,Graduate,Yes,3,1,,100-500,Yes
106370,city_75,Male,Has relevent experience,Grade 3,,Yes,19,>4,,1-10,No
106417,city_13,Male,Has relevent experience,Grade 2,Masters,Yes,10,4,,10000+,Yes
106436,city_103,Male,Has relevent experience,Grade 2,Graduate,Yes,>20,3,,10000+,Yes
106527,city_127,,No relevent experience,Grade 3,High School,Yes,1,never,,,Yes
106627,city_103,Male,Has relevent experience,Grade 3,Masters,Yes,>20,>4,,1000-4999,No
106662,city_19,Male,Has relevent experience,Grade 2,Masters,Yes,19,4,,1000-4999,Yes
106761,city_114,Male,Has relevent experience,Grade 1,Masters,Yes,>20,2,,1000-4999,Yes
106851,city_101,Male,Has relevent experience,Grade 2,Masters,Yes,3,2,,,Yes
106943,city_103,Male,Has relevent experience,Grade 3,Graduate,Yes,17,3,,1000-4999,Yes
106968,city_75,Male,Has relevent experience,Grade 3,Phd,Yes,>20,3,,1000-4999,Yes
107027,city_103,Female,Has relevent experience,Grade 2,Graduate,Yes,4,1,,,Yes
107095,city_21,Male,No relevent experience,Grade 2,High School,No,3,2,,<10,Yes
107171,city_21,,Has relevent experience,Grade 3,Graduate,Yes,9,1,,10000+,Yes
107206,city_103,,Has relevent experience,Grade 2,Masters,No,16,>4,,10000+,Yes
107268,city_103,,No relevent experience,Grade 3,High School,Yes,3,>4,,,Yes
107271,city_139,Male,No relevent experience,Grade 3,Graduate,Yes,1,never,,1-10,No
107308,city_16,Male,Has relevent experience,Grade 2,Graduate,Yes,16,1,,50-99,Yes
107322,city_16,Male,Has relevent experience,Grade 1,Graduate,Yes,>20,2,,10000+,Yes
107375,city_27,Male,Has relevent experience,Grade 3,Graduate,Yes,3,never,,50-99,Yes
107410,city_136,Male,Has relevent experience,Grade 3,Masters,Yes,11,2,,100-500,Yes
107502,city_16,Male,Has relevent experience,Grade 3,Graduate,Yes,>20,never,,50-99,Yes
107578,city_103,,Has relevent experience,Grade 2,Graduate,Yes,>20,1,,,Yes
107619,city_71,Male,No relevent experience,Grade 3,Graduate,Yes,<1,>4,,,No
107675,city_103,Male,Has relevent experience,Grade 3,Graduate,Yes,18,1,,50-99,No
107760,city_67,Male,Has relevent experience,Grade 2,Masters,Yes,15,never,,50-99,Yes
107797,city_16,Male,Has relevent experience,Grade 2,Graduate,Yes,11,1,,50-99,Yes
107851,city_103,,Has relevent experience,Grade 3,Graduate,Yes,>20,1,,5000-9999,Yes
107906,city_160,,Has relevent experience,Grade 1,Graduate,Yes,6,1,,,Yes
107930,city_103,,Has relevent experience,Grade 2,Graduate,Yes,5,never,,10000+,No
107942,city_21,Male,Has relevent experience,Grade 2,Graduate,Yes,7,>4,,50-99,Yes
107981,city_103,Male,Has relevent experience,Grade 1,Graduate,Yes,9,1,,1000-4999,Yes
108020,city_143,,No relevent experience,Grade 2,Graduate,Yes,10,>4,,1000-4999,Yes
108024,city_21,Male,No relevent experience,Grade 3,Graduate,Yes,7,1,,,No
108123,city_103,Male,No relevent experience,Grade 3,High School,Yes,1,never,,,No
108125,city_99,,No relevent experience,Grade 2,High School,Yes,6,never,,,Yes
108157,city_21,Male,Has relevent experience,Grade 2,Graduate,Yes,12,1,,1000-4999,Yes
108196,city_61,Male,Has relevent experience,Grade 1,High School,Yes,3,1,,100-500,Yes
108254,city_71,Male,No relevent experience,Grade 3,Masters,Yes,2,1,,1000-4999,Yes
108277,city_173,Male,Has relevent experience,Grade 1,Masters,Yes,>20,2,,1000-4999,Yes
108372,city_103,,No relevent experience,Grade 3,,No,,,,,Yes
108398,city_21,,Has relevent experience,Grade 2,Graduate,Yes,<1,1,,<10,Yes
108494,city_103,,Has relevent experience,Grade 3,Graduate,Yes,>20,>4,,5000-9999,No
108516,city_16,Female,No relevent experience,Grade 1,Phd,Yes,19,1,,1000-4999,No
108518,city_21,,Has relevent experience,Grade 3,Masters,Yes,<1,,,<10,Yes
108564,city_16,,No relevent experience,Grade 1,High School,Yes,<1,1,,,Yes
108635,city_70,Male,Has relevent experience,Grade 2,Graduate,Yes,18,2,,100-500,Yes
108682,city_73,Male,Has relevent experience,Grade 2,Masters,Yes,>20,1,,50-99,Yes
108733,city_103,Male,No relevent experience,Grade 2,Graduate,Yes,>20,>4,,<10,Yes
108772,city_69,Female,Has relevent experience,Grade 2,Graduate,Yes,7,1,,500-999,No
108839,city_61,Male,Has relevent experience,Grade 1,Graduate,Yes,11,>4,,100-500,Yes
108892,city_64,,Has relevent experience,Grade 3,High School,Yes,2,never,,,No
108894,city_21,,Has relevent experience,Grade 2,Graduate,Yes,<1,1,,,Yes
108993,city_16,Male,No relevent experience,Grade 3,Phd,Yes,>20,>4,,,Yes
109005,city_103,Male,No relevent experience,Grade 2,Graduate,Yes,<1,1,,,Yes
109007,city_21,Male,Has relevent experience,Grade 2,Graduate,Yes,5,1,,1-10,Yes
109091,city_100,Male,Has relevent experience,Grade 2,Graduate,Yes,15,1,,,Yes
109151,city_21,Male,Has relevent experience,Grade 3,Graduate,Yes,10,1,,,No
109203,city_160,Male,Has relevent experience,Grade 2,Graduate,No,>20,>4,,10000+,Yes
109278,city_114,,Has relevent experience,Grade 2,Masters,Yes,>20,>4,,100-500,Yes
109375,city_136,Male,Has relevent experience,Grade 2,Masters,Yes,3,1,,10000+,Yes
109411,city_16,Male,Has relevent experience,Grade 1,Masters,Yes,7,4,,,Yes
109448,city_103,Male,Has relevent experience,Grade 1,Graduate,Yes,15,4,,100-500,Yes
109527,city_134,,Has relevent experience,Grade 3,Masters,Yes,>20,>4,,,Yes
109592,city_44,,Has relevent experience,Grade 3,Masters,Yes,5,,,1-10,No
109607,city_41,Male,Has relevent experience,Grade 3,Masters,Yes,>20,>4,,50-99,Yes
109665,city_90,Male,No relevent experience,Grade 3,Graduate,Yes,<1,never,,,Yes
109694,city_160,Male,Has relevent experience,Grade 2,Graduate,Yes,>20,1,,10000+,Yes
109789,city_103,Male,No relevent experience,Grade 2,Masters,Yes,16,never,,,Yes
109828,city_21,Male,Has relevent experience,Grade 2,Graduate,Yes,13,4,,5000-9999,Yes
109917,city_149,Male,Has relevent experience,Grade 2,High School,Yes,6,1,,100-500,Yes
109921,city_165,Male,Has relevent experience,Grade 3,Phd,Yes,>20,1,,,No
109938,city_103,,Has relevent experience,Grade 3,Masters,Yes,12,1,,100-500,Yes
109947,city_28,Male,No relevent experience,Grade 1,Phd,Yes,>20,2,,5000-9999,Yes
109986,city_83,,No relevent experience,Grade 1,Graduate,Yes,3,never,,1-10,Yes
110034,city_165,,No relevent experience,Grade 2,Graduate,No,13,3,,,Yes
110107,city_150,Male,No relevent experience,Grade 3,High School,Yes,1,never,,,Yes
110124,city_160,Male,Has relevent experience,Grade 3,Graduate,Yes,6,1,,5000-9999,No
110202,city_16,Female,Has relevent experience,Grade 1,Graduate,Yes,5,1,,10000+,Yes
110243,city_16,Male,Has relevent experience,Grade 1,Phd,Yes,>20,3,,50-99,No
110291,city_114,Male,Has relevent experience,Grade 1,High School,Yes,5,>4,,10000+,Yes
110341,city_160,Male,Has relevent experience,Grade 2,Graduate,Yes,>20,>4,,100-500,Yes
110423,city_103,Male,Has relevent experience,Grade 2,Graduate,Yes,16,1,,500-999,Yes
110432,city_103,Male,Has relevent experience,Grade 2,Masters,Yes,>20,>4,,50-99,Yes
110499,city_21,Male,Has relevent experience,Grade 1,Graduate,Yes,2,1,,50-99,Yes
110510,city_74,Male,Has relevent experience,Grade 3,Masters,Yes,3,1,,50-99,No
110601,city_103,Male,Has relevent experience,Grade 3,Masters,Yes,10,>4,,10000+,Yes
110614,city_114,,No relevent experience,Grade 3,Phd,Yes,15,1,,10000+,No
110655,city_143,Male,Has relevent experience,Grade 1,Graduate,Yes,6,4,,1-10,Yes
110658,city_103,,No relevent experience,Grade 2,Graduate,Yes,1,1,,100-500,Yes
110661,city_176,Male,Has relevent experience,Grade 3,Graduate,No,4,1,,1-10,Yes
110697,city_21,Male,Has relevent experience,Grade 3,Masters,Yes,9,>4,,1-10,No
110726,city_16,Male,Has relevent experience,Grade 3,High School,Yes,>20,1,,100-500,No
110775,city_155,Male,No relevent experience,Grade 3,Graduate,No,2,,,,No
110805,city_155,Male,Has relevent experience,Grade 2,Graduate,No,7,3,,50-99,Yes
110848,city_21,Male,No relevent experience,Grade 3,Masters,Yes,4,1,,100-500,Yes
110849,city_21,Male,No relevent experience,Grade 2,High School,No,2,never,,,Yes
110946,city_167,Male,Has relevent experience,Grade 1,Graduate,No,7,1,,100-500,Yes
110959,city_103,Male,Has relevent experience,Grade 3,Masters,Yes,>20,2,,50-99,No
111000,city_90,Male,Has relevent experience,Grade 3,Graduate,Yes,7,1,,,Yes
111086,city_73,,Has relevent experience,Grade 3,Graduate,Yes,6,3,,1-10,Yes
111100,city_114,Male,No relevent experience,Grade 1,High School,Yes,5,never,,,Yes
111129,city_103,Male,Has relevent experience,Grade 2,Graduate,Yes,>20,>4,,1000-4999,Yes
111215,city_103,Male,No relevent experience,Grade 3,Graduate,Yes,3,never,,,Yes
111267,city_114,,No relevent experience,Grade 1,High School,Yes,11,>4,,100-500,Yes
111362,city_21,Female,Has relevent experience,Grade 1,Graduate,Yes,<1,1,,100-500,Yes
111402,city_16,Male,Has relevent experience,Grade 3,Graduate,Yes,13,2,,100-500,Yes
111450,city_149,,Has relevent experience,Grade 3,Graduate,No,9,2,,,Yes
111501,city_160,Male,Has relevent experience,Grade 2,Graduate,Yes,7,3,,50-99,Yes
111534,city_11,Male,Has relevent experience,Grade 3,Graduate,Yes,7,3,,,No
111585,city_28,Male,Has relevent experience,Grade 3,Graduate,No,8,2,,1-10,Yes
111614,city_160,Male,No relevent experience,Grade 3,High School,Yes,2,1,,,Yes
111650,city_21,,Has relevent experience,Grade 3,Graduate,Yes,1,never,,100-500,No
111719,city_136,Male,Has relevent experience,Grade 2,Masters,Yes,14,1,,,Yes
111745,city_16,Male,Has relevent experience,Grade 3,Graduate,Yes,5,1,,<10,Yes
111831,city_21,,No relevent experience,Grade 3,,Yes,1,never,,,Yes
111894,city_11,Male,Has relevent experience,Grade 3,Graduate,No,4,1,,50-99,Yes
111898,city_136,Male,Has relevent experience,Grade 3,Masters,Yes,6,2,,50-99,No
111971,city_105,Female,Has relevent experience,Grade 2,Masters,Yes,,1,,500-999,Yes
111993,city_21,,No relevent experience,Grade 1,High School,Yes,2,never,,,Yes
112078,city_103,Male,Has relevent experience,Grade 3,Masters,Yes,>20,>4,,10000+,No
112164,city_114,Female,Has relevent experience,Grade 2,Masters,Yes,>20,never,,,Yes
112191,city_160,Male,Has relevent experience,Grade 2,Graduate,Yes,16,>4,,100-500,Yes
112290,city_103,Male,Has relevent experience,Grade 2,Graduate,Yes,19,1,,10000+,Yes
112333,city_103,Male,Has relevent experience,Grade 1,Graduate,Yes,12,2,,,Yes
112359,city_114,Male,Has relevent experience,Grade 3,Graduate,Yes,17,>4,,50-99,Yes
112433,city_21,Male,Has relevent experience,Grade 3,Graduate,Yes,4,never,,,Yes
112452,city_136,Male,Has relevent experience,Grade 3,Phd,No,14,1,,<10,Yes
112517,city_21,Male,Has relevent experience,Grade 3,High School,Yes,10,never,,,Yes
112555,city_103,Male,Has relevent experience,Grade 2,Masters,Yes,>20,2,,100-500,Yes
112642,city_30,Male,Has relevent experience,Grade 2,,Yes,>20,,,<10,Yes
112702,city_97,,Has relevent experience,Grade 1,High School,No,8,1,,,Yes
112757,city_114,Male,Has relevent experience,Grade 3,Graduate,Yes,2,1,,<10,Yes
112822,city_21,,Has relevent experience,Grade 1,Graduate,Yes,4,1,,1-10,Yes
112880,city_21,Male,Has relevent experience,Grade 2,Graduate,Yes,7,>4,,10000+,Yes
112901,city_103,,Has relevent experience,Grade 3,Graduate,No,15,2,,1000-4999,Yes
112903,city_21,Male,Has relevent experience,Grade 3,Graduate,Yes,2,never,,100-500,No
112960,city_160,Male,Has relevent experience,Grade 1,,Yes,>20,2,,<10,No
112978,city_21,Female,Has relevent experience,Grade 3,Graduate,Yes,6,1,,10000+,Yes
113065,city_103,Female,No relevent experience,Grade 2,Graduate,Yes,3,1,,5000-9999,Yes
113097,city_21,,No relevent experience,Grade 2,Graduate,Yes,<1,,,<10,Yes
113108,city_160,,No relevent experience,Grade 3,Graduate,Yes,>20,,,,No
113169,city_114,Male,Has relevent experience,Grade 3,Masters,Yes,>20,>4,,50-99,Yes
113262,city_103,Male,Has relevent experience,Grade 1,Graduate,Yes,7,1,,5000-9999,Yes
113334,city_89,Female,Has relevent experience,Grade 3,Graduate,Yes,3,2,,<10,Yes
113340,city_57,,No relevent experience,Grade 3,Masters,Yes,12,never,,,Yes
113376,city_98,Male,Has relevent experience,Grade 1,Graduate,Yes,9,1,,<10,Yes
113423,city_103,,Has relevent experience,Grade 3,Primary School,Yes,7,1,,100-500,Yes
113482,city_21,Male,Has relevent experience,Grade 1,Graduate,Yes,5,4,,500-999,Yes
113513,city_11,Male,Has relevent experience,Grade 1,Graduate,Yes,4,never,,100-500,Yes
113560,city_21,Male,Has relevent experience,Grade 3,Graduate,Yes,9,2,,,Yes
113577,city_103,Male,No relevent experience,Grade 3,Graduate,Yes,17,2,,<10,Yes
113587,city_149,Male,Has relevent experience,Grade 3,Graduate,Yes,4,2,,1000-4999,Yes
113655,city_16,Male,Has relevent experience,Grade 3,Masters,Yes,7,1,,,Yes
113656,city_41,,Has relevent experience,Grade 1,High School,Yes,4,2,,100-500,Yes
113749,city_69,Male,Has relevent experience,Grade 2,Graduate,Yes,7,1,,<10,Yes
113848,city_21,,Has relevent experience,Grade 1,Graduate,Yes,6,never,,10000+,No
113908,city_114,Male,Has relevent experience,Grade 3,,No,2,never,,,Yes
113987,city_150,Male,Has relevent experience,Grade 1,High School,Yes,2,2,,50-99,Yes
114084,city_61,Male,Has relevent experience,Grade 3,Masters,Yes,20,never,,1000-4999,Yes
114178,city_103,Male,Has relevent experience,Grade 2,Graduate,Yes,17,3,,1-10,Yes
114272,city_103,,Has relevent experience,Grade 3,Graduate,Yes,6,2,,,No
114323,city_76,Other,Has relevent experience,Grade 3,Graduate,No,9,3,,10000+,No
114371,city_67,Male,Has relevent experience,Grade 1,Graduate,Yes,>20,never,,<10,Yes
114466,city_104,Male,Has relevent experience,Grade 3,Graduate,Yes,>20,1,,,Yes
114562,city_103,,No relevent experience,Grade 3,Graduate,Yes,>20,>4,,,Yes
114658,city_165,Male,Has relevent experience,Grade 1,Phd,Yes,14,>4,,100-500,No
114735,city_103,Male,Has relevent experience,Grade 3,Masters,Yes,>20,2,,50-99,Yes
114748,city_162,,Has relevent experience,Grade 3,Graduate,Yes,6,1,,1-10,Yes
114828,city_64,Male,Has relevent experience,Grade 1,Graduate,Yes,15,1,,1-10,Yes
114856,city_36,,No relevent experience,Grade 2,Graduate,Yes,>20,>4,,10000+,Yes
114930,city_103,Other,Has relevent experience,Grade 3,Graduate,Yes,>20,>4,,,Yes
114981,city_16,Female,Has relevent experience,Grade 3,Graduate,Yes,19,>4,,1-10,No
115009,city_74,,Has relevent experience,Grade 1,Graduate,Yes,6,>4,,50-99,Yes
115017,city_16,Male,Has relevent experience,Grade 2,High School,Yes,7,1,,10000+,Yes
115043,city_21,Male,No relevent experience,Grade 3,,Yes,3,never,,,Yes
115136,city_103,Male,Has relevent experience,Grade 1,Masters,No,5,2,,,Yes
115185,city_90,,Has relevent experience,Grade 3,High School,Yes,11,2,,<10,Yes
115203,city_105,Male,Has relevent experience,Grade 1,Masters,Yes,10,2,,100-500,No
115268,city_21,Male,Has relevent experience,Grade 2,Graduate,Yes,8,1,,500-999,Yes
115275,city_103,Male,Has relevent experience,Grade 1,Graduate,No,13,>4,,50-99,Yes
115358,city_107,Male,No relevent experience,Grade 3,High School,No,2,never,,,Yes
115403,city_101,Male,Has relevent experience,Grade 3,High School,Yes,3,never,,,No
115426,city_21,Male,Has relevent experience,Grade 1,Graduate,Yes,<1,1,,50-99,Yes
115448,city_83,,Has relevent experience,Grade 3,Graduate,Yes,20,1,,100-500,Yes
115463,city_57,Male,Has relevent experience,Grade 2,Masters,Yes,10,1,,100-500,Yes
115484,city_21,Female,No relevent experience,Grade 1,High School,Yes,2,never,,10000+,Yes
115541,city_128,,Has relevent experience,Grade 3,Graduate,Yes,6,1,,1-10,Yes
115612,city_28,Male,Has relevent experience,Grade 2,Masters,Yes,>20,3,,,No
115695,city_39,Male,Has relevent experience,Grade 3,Graduate,Yes,14,1,,500-999,Yes
115754,city_102,Male,Has relevent experience,Grade 3,Graduate,No,6,4,,1-10,Yes
115779,city_16,Male,Has relevent experience,Grade 3,Graduate,Yes,12,1,,,Yes
115788,city_114,Male,Has relevent experience,Grade 3,Masters,Yes,13,1,,100-500,Yes
115828,city_21,Male,No relevent experience,Grade 3,Masters,Yes,6,>4,,100-500,Yes
115915,city_67,Male,Has relevent experience,Grade 3,High School,Yes,3,1,,100-500,Yes
115996,city_103,Male,Has relevent experience,Grade 2,Phd,Yes,>20,>4,,<10,Yes
116030,city_67,Male,No relevent experience,Grade 2,High School,Yes,6,never,,,Yes
116031,city_103,Male,Has relevent experience,Grade 3,Graduate,Yes,17,3,,50-99,Yes
116062,city_21,Male,Has relevent experience,Grade 2,Graduate,Yes,11,never,,5000-9999,Yes
116158,city_160,Male,No relevent experience,Grade 3,Graduate,Yes,3,1,,,Yes
116167,city_103,Male,Has relevent experience,Grade 1,Graduate,No,5,never,,10000+,Yes
116172,city_21,Female,Has relevent experience,Grade 1,Masters,Yes,5,1,,10000+,Yes
116226,city_21,Female,Has relevent experience,Grade 3,Graduate,Yes,5,1,,,Yes
116299,city_19,Male,No relevent experience,Grade 2,Graduate,Yes,2,never,,,Yes
116363,city_99,,No relevent experience,Grade 2,High School,Yes,3,,,,Yes
116448,city_16,Male,Has relevent experience,Grade 2,High School,Yes,3,1,,50-99,No
116486,city_16,,No relevent experience,Grade 2,Primary School,No,>20,never,,,Yes
116542,city_23,Female,Has relevent experience,Grade 3,Graduate,Yes,3,2,,,No
116584,city_65,,Has relevent experience,Grade 2,Graduate,Yes,6,2,,,Yes
116647,city_10,,No relevent experience,Grade 1,Masters,Yes,>20,2,,100-500,Yes
116692,city_73,,No relevent experience,Grade 2,Graduate,Yes,2,never,,,Yes
116788,city_103,,Has relevent experience,Grade 2,Masters,Yes,12,3,,50-99,Yes
116864,city_102,Male,Has relevent experience,Grade 2,Graduate,Yes,>20,1,,,Yes
116904,city_102,Male,Has relevent experience,Grade 3,Graduate,Yes,3,1,,<10,Yes
116934,city_103,Male,Has relevent experience,Grade 1,Graduate,Yes,>20,>4,,,No
116971,city_40,Male,No relevent experience,Grade 2,Graduate,Yes,8,2,,,Yes
117015,city_136,Male,Has relevent experience,Grade 3,Masters,Yes,16,never,,50-99,Yes
117100,city_103,Male,Has relevent experience,Grade 3,Graduate,Yes,>20,1,,,No
117132,city_103,,No relevent experience,Grade 1,,Yes,>20,2,,500-999,Yes
117204,city_21,,No relevent experience,Grade 3,Graduate,Yes,4,1,,50-99,Yes
117226,city_90,Male,Has relevent experience,Grade 2,Graduate,Yes,12,,,<10,Yes
117276,city_73,Male,Has relevent experience,Grade 3,Graduate,No,>20,1,,,Yes
117300,city_16,Male,Has relevent experience,Grade 2,Masters,Yes,3,1,,1-10,Yes
117388,city_11,Male,Has relevent experience,Grade 3,Graduate,No,5,1,,50-99,Yes
117423,city_160,Male,Has relevent experience,Grade 2,Graduate,Yes,>20,>4,,1000-4999,Yes
117491,city_73,Male,Has relevent experience,Grade 1,Masters,Yes,10,1,,100-500,Yes
117571,city_103,Male,No relevent experience,Grade 3,Graduate,Yes,8,1,,10000+,Yes
117608,city_103,Male,No relevent experience,Grade 2,High School,Yes,8,1,,500-999,No
117635,city_11,,No relevent experience,Grade 3,Graduate,Yes,<1,never,,,Yes
117708,city_16,Male,Has relevent experience,Grade 3,Graduate,Yes,>20,1,,,Yes
117723,city_21,,Has relevent experience,Grade 2,Graduate,Yes,4,1,,100-500,Yes
117797,city_74,Male,No relevent experience,Grade 2,Graduate,Yes,2,1,,1-10,Yes
117880,city_103,Male,Has relevent experience,Grade 3,Masters,Yes,>20,>4,,10000+,Yes
